City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Ahipara,NZ,62.53,scattered clouds,-35.17,173.17,Ahipara Holiday Park
243,Acapulco,MX,78.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
245,Atlantic Beach,US,77.0,few clouds,30.33,-81.4,One Ocean Resort & Spa
248,Tabas,IR,75.2,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
249,Madimba,TZ,77.0,moderate rain,-10.4,40.33,
252,Constitucion,CL,66.24,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
255,Ixtapa,MX,79.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
262,Esperance,AU,71.6,scattered clouds,-33.87,121.9,Hospitality Esperance
265,Shintomi,JP,60.1,overcast clouds,32.08,131.47,ホテルスイート
267,Vallenar,CL,78.55,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
272,Barinitas,VE,78.26,overcast clouds,8.76,-70.41,Hotel El Jardín
275,Celestun,MX,78.04,overcast clouds,20.87,-90.4,Posada Lilia
281,Villa Carlos Paz,AR,73.0,clear sky,-31.42,-64.5,Monte Carlo
284,Betanzos,ES,70.0,broken clouds,43.28,-8.21,Hotel Garelos Betanzos
285,Pacocha,PE,66.2,overcast clouds,-17.58,-71.33,terrenos en venta
292,Hashtrud,IR,62.33,clear sky,37.48,47.05,هتل و مسافرخانه کارون
296,Dingle,PH,76.33,overcast clouds,11.0,122.67,Camp Pasica
297,Mehran,IR,66.2,clear sky,33.12,46.16,بوتیک زنانه بهار
298,Meulaboh,ID,78.55,overcast clouds,4.14,96.13,Kost Pria
303,Sur,OM,74.79,clear sky,22.57,59.53,Sur Plaza Hotel
305,Ponerihouen,NC,74.84,overcast clouds,-21.08,165.4,Camping de Tiakan
312,Kharhial,IN,72.46,clear sky,20.28,82.77,Jeevan Chhaya
315,Kailua,US,73.4,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
316,Hasilpur,PK,69.01,clear sky,29.71,72.56,Dr Riaz's House 89 Fateh
317,Rocha,UY,65.44,clear sky,-34.48,-54.33,Beleza Pura B&B
319,Jagdalpur,IN,67.55,clear sky,19.07,82.03,STARiHOTELS Geedam Road
321,Santa Fe,AR,75.99,clear sky,-31.63,-60.7,Conquistador Hotel
322,Ambilobe,MG,78.39,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
327,Bandarbeyla,SO,78.08,broken clouds,9.49,50.81,REER XOOSHLE GROUP
328,Gat,IL,79.0,scattered clouds,31.61,34.76,OlusHome
336,Mizdah,LY,67.05,broken clouds,31.45,12.98,فندق بنيه تحتيه
338,Port Said,EG,78.8,scattered clouds,31.26,32.28,Aracan Hotel
344,Waddan,LY,73.92,clear sky,29.16,16.14,محل الشريف محمد العايب
346,Placerville,US,62.6,clear sky,38.73,-120.8,Historic Cary House Hotel
347,Vedelago,IT,64.99,few clouds,45.69,12.02,Hotel Relais Villa Cornér della Regina
